Year,SeriesID,SeriesDescription,Unnamed: 3,GeoAreaCode,GeoAreaName,TimePeriod,Source,FootNote,Nature,Units,Reporting Type,ISOalpha3,Type,SeriesCode,Value
2012,1753,"Personal remittances, received,  as a proportion of GDP (%)",,19,Americas,2012,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,,Region,BX_TRF_PWKR,0.29047148
2013,1753,"Personal remittances, received,  as a proportion of GDP (%)",,19,Americas,2013,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,,Region,BX_TRF_PWKR,0.288692021
2014,1753,"Personal remittances, received,  as a proportion of GDP (%)",,19,Americas,2014,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,,Region,BX_TRF_PWKR,0.29106603
2015,1753,"Personal remittances, received,  as a proportion of GDP (%)",,19,Americas,2015,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,,Region,BX_TRF_PWKR,0.31812134
2016,1753,"Personal remittances, received,  as a proportion of GDP (%)",,19,Americas,2016,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,,Region,BX_TRF_PWKR,0.331961749
2017,1753,"Personal remittances, received,  as a proportion of GDP (%)",,19,Americas,2017,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,,Region,BX_TRF_PWKR,0.344524197
2018,1753,"Personal remittances, received,  as a proportion of GDP (%)",,19,Americas,2018,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,,Region,BX_TRF_PWKR,0.362949053
2019,1753,"Personal remittances, received,  as a proportion of GDP (%)",,19,Americas,2019,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,,Region,BX_TRF_PWKR,0.380955105
2020,1753,"Personal remittances, received,  as a proportion of GDP (%)",,19,Americas,2020,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,,Region,BX_TRF_PWKR,0.419734477
1960,1753,"Personal remittances, received,  as a proportion of GDP (%)",,20,Andorra,1960,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,AND,Country,BX_TRF_PWKR,
1961,1753,"Personal remittances, received,  as a proportion of GDP (%)",,20,Andorra,1961,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,AND,Country,BX_TRF_PWKR,
1962,1753,"Personal remittances, received,  as a proportion of GDP (%)",,20,Andorra,1962,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,AND,Country,BX_TRF_PWKR,
1963,1753,"Personal remittances, received,  as a proportion of GDP (%)",,20,Andorra,1963,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,AND,Country,BX_TRF_PWKR,
1964,1753,"Personal remittances, received,  as a proportion of GDP (%)",,20,Andorra,1964,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,AND,Country,BX_TRF_PWKR,
1965,1753,"Personal remittances, received,  as a proportion of GDP (%)",,20,Andorra,1965,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,AND,Country,BX_TRF_PWKR,
1966,1753,"Personal remittances, received,  as a proportion of GDP (%)",,20,Andorra,1966,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,AND,Country,BX_TRF_PWKR,
1967,1753,"Personal remittances, received,  as a proportion of GDP (%)",,20,Andorra,1967,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,AND,Country,BX_TRF_PWKR,
1968,1753,"Personal remittances, received,  as a proportion of GDP (%)",,20,Andorra,1968,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,AND,Country,BX_TRF_PWKR,
1969,1753,"Personal remittances, received,  as a proportion of GDP (%)",,20,Andorra,1969,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,AND,Country,BX_TRF_PWKR,
1970,1753,"Personal remittances, received,  as a proportion of GDP (%)",,20,Andorra,1970,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,AND,Country,BX_TRF_PWKR,
1971,1753,"Personal remittances, received,  as a proportion of GDP (%)",,20,Andorra,1971,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,AND,Country,BX_TRF_PWKR,
1972,1753,"Personal remittances, received,  as a proportion of GDP (%)",,20,Andorra,1972,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,AND,Country,BX_TRF_PWKR,
1973,1753,"Personal remittances, received,  as a proportion of GDP (%)",,20,Andorra,1973,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,AND,Country,BX_TRF_PWKR,
1974,1753,"Personal remittances, received,  as a proportion of GDP (%)",,20,Andorra,1974,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,AND,Country,BX_TRF_PWKR,
1975,1753,"Personal remittances, received,  as a proportion of GDP (%)",,20,Andorra,1975,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,AND,Country,BX_TRF_PWKR,
1976,1753,"Personal remittances, received,  as a proportion of GDP (%)",,20,Andorra,1976,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,AND,Country,BX_TRF_PWKR,
1977,1753,"Personal remittances, received,  as a proportion of GDP (%)",,20,Andorra,1977,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,AND,Country,BX_TRF_PWKR,
1978,1753,"Personal remittances, received,  as a proportion of GDP (%)",,20,Andorra,1978,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,AND,Country,BX_TRF_PWKR,
1979,1753,"Personal remittances, received,  as a proportion of GDP (%)",,20,Andorra,1979,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,AND,Country,BX_TRF_PWKR,
1980,1753,"Personal remittances, received,  as a proportion of GDP (%)",,20,Andorra,1980,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,AND,Country,BX_TRF_PWKR,
1981,1753,"Personal remittances, received,  as a proportion of GDP (%)",,20,Andorra,1981,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,AND,Country,BX_TRF_PWKR,
1982,1753,"Personal remittances, received,  as a proportion of GDP (%)",,20,Andorra,1982,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,AND,Country,BX_TRF_PWKR,
1983,1753,"Personal remittances, received,  as a proportion of GDP (%)",,20,Andorra,1983,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,AND,Country,BX_TRF_PWKR,
1984,1753,"Personal remittances, received,  as a proportion of GDP (%)",,20,Andorra,1984,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,AND,Country,BX_TRF_PWKR,
1985,1753,"Personal remittances, received,  as a proportion of GDP (%)",,20,Andorra,1985,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,AND,Country,BX_TRF_PWKR,
1986,1753,"Personal remittances, received,  as a proportion of GDP (%)",,20,Andorra,1986,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,AND,Country,BX_TRF_PWKR,
1987,1753,"Personal remittances, received,  as a proportion of GDP (%)",,20,Andorra,1987,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,AND,Country,BX_TRF_PWKR,
1988,1753,"Personal remittances, received,  as a proportion of GDP (%)",,20,Andorra,1988,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,AND,Country,BX_TRF_PWKR,
1989,1753,"Personal remittances, received,  as a proportion of GDP (%)",,20,Andorra,1989,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,AND,Country,BX_TRF_PWKR,
1990,1753,"Personal remittances, received,  as a proportion of GDP (%)",,20,Andorra,1990,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,AND,Country,BX_TRF_PWKR,
1991,1753,"Personal remittances, received,  as a proportion of GDP (%)",,20,Andorra,1991,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,AND,Country,BX_TRF_PWKR,
1992,1753,"Personal remittances, received,  as a proportion of GDP (%)",,20,Andorra,1992,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,AND,Country,BX_TRF_PWKR,
1993,1753,"Personal remittances, received,  as a proportion of GDP (%)",,20,Andorra,1993,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,AND,Country,BX_TRF_PWKR,
1994,1753,"Personal remittances, received,  as a proportion of GDP (%)",,20,Andorra,1994,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,AND,Country,BX_TRF_PWKR,
1995,1753,"Personal remittances, received,  as a proportion of GDP (%)",,20,Andorra,1995,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,AND,Country,BX_TRF_PWKR,
1996,1753,"Personal remittances, received,  as a proportion of GDP (%)",,20,Andorra,1996,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,AND,Country,BX_TRF_PWKR,
1997,1753,"Personal remittances, received,  as a proportion of GDP (%)",,20,Andorra,1997,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,AND,Country,BX_TRF_PWKR,
1998,1753,"Personal remittances, received,  as a proportion of GDP (%)",,20,Andorra,1998,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,AND,Country,BX_TRF_PWKR,
1999,1753,"Personal remittances, received,  as a proportion of GDP (%)",,20,Andorra,1999,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,AND,Country,BX_TRF_PWKR,
2000,1753,"Personal remittances, received,  as a proportion of GDP (%)",,20,Andorra,2000,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,AND,Country,BX_TRF_PWKR,
2001,1753,"Personal remittances, received,  as a proportion of GDP (%)",,20,Andorra,2001,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,AND,Country,BX_TRF_PWKR,
2002,1753,"Personal remittances, received,  as a proportion of GDP (%)",,20,Andorra,2002,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,AND,Country,BX_TRF_PWKR,
2003,1753,"Personal remittances, received,  as a proportion of GDP (%)",,20,Andorra,2003,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,AND,Country,BX_TRF_PWKR,
2004,1753,"Personal remittances, received,  as a proportion of GDP (%)",,20,Andorra,2004,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,AND,Country,BX_TRF_PWKR,
2005,1753,"Personal remittances, received,  as a proportion of GDP (%)",,20,Andorra,2005,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,AND,Country,BX_TRF_PWKR,
2006,1753,"Personal remittances, received,  as a proportion of GDP (%)",,20,Andorra,2006,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,AND,Country,BX_TRF_PWKR,
2007,1753,"Personal remittances, received,  as a proportion of GDP (%)",,20,Andorra,2007,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,AND,Country,BX_TRF_PWKR,
2008,1753,"Personal remittances, received,  as a proportion of GDP (%)",,20,Andorra,2008,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,AND,Country,BX_TRF_PWKR,
2009,1753,"Personal remittances, received,  as a proportion of GDP (%)",,20,Andorra,2009,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,AND,Country,BX_TRF_PWKR,
2010,1753,"Personal remittances, received,  as a proportion of GDP (%)",,20,Andorra,2010,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,AND,Country,BX_TRF_PWKR,
2011,1753,"Personal remittances, received,  as a proportion of GDP (%)",,20,Andorra,2011,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,AND,Country,BX_TRF_PWKR,
2012,1753,"Personal remittances, received,  as a proportion of GDP (%)",,20,Andorra,2012,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,AND,Country,BX_TRF_PWKR,
2013,1753,"Personal remittances, received,  as a proportion of GDP (%)",,20,Andorra,2013,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,AND,Country,BX_TRF_PWKR,
2014,1753,"Personal remittances, received,  as a proportion of GDP (%)",,20,Andorra,2014,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,AND,Country,BX_TRF_PWKR,
2015,1753,"Personal remittances, received,  as a proportion of GDP (%)",,20,Andorra,2015,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,AND,Country,BX_TRF_PWKR,
2016,1753,"Personal remittances, received,  as a proportion of GDP (%)",,20,Andorra,2016,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,AND,Country,BX_TRF_PWKR,
2017,1753,"Personal remittances, received,  as a proportion of GDP (%)",,20,Andorra,2017,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,AND,Country,BX_TRF_PWKR,
2018,1753,"Personal remittances, received,  as a proportion of GDP (%)",,20,Andorra,2018,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,AND,Country,BX_TRF_PWKR,
2019,1753,"Personal remittances, received,  as a proportion of GDP (%)",,20,Andorra,2019,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,AND,Country,BX_TRF_PWKR,
2020,1753,"Personal remittances, received,  as a proportion of GDP (%)",,20,Andorra,2020,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,AND,Country,BX_TRF_PWKR,
1960,1753,"Personal remittances, received,  as a proportion of GDP (%)",,21,Northern America (M49),1960,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,,Region,BX_TRF_PWKR,
1961,1753,"Personal remittances, received,  as a proportion of GDP (%)",,21,Northern America (M49),1961,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,,Region,BX_TRF_PWKR,
1962,1753,"Personal remittances, received,  as a proportion of GDP (%)",,21,Northern America (M49),1962,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,,Region,BX_TRF_PWKR,
1963,1753,"Personal remittances, received,  as a proportion of GDP (%)",,21,Northern America (M49),1963,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,,Region,BX_TRF_PWKR,
1964,1753,"Personal remittances, received,  as a proportion of GDP (%)",,21,Northern America (M49),1964,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,,Region,BX_TRF_PWKR,
1965,1753,"Personal remittances, received,  as a proportion of GDP (%)",,21,Northern America (M49),1965,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,,Region,BX_TRF_PWKR,
1966,1753,"Personal remittances, received,  as a proportion of GDP (%)",,21,Northern America (M49),1966,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,,Region,BX_TRF_PWKR,
1967,1753,"Personal remittances, received,  as a proportion of GDP (%)",,21,Northern America (M49),1967,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,,Region,BX_TRF_PWKR,
1968,1753,"Personal remittances, received,  as a proportion of GDP (%)",,21,Northern America (M49),1968,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,,Region,BX_TRF_PWKR,
1969,1753,"Personal remittances, received,  as a proportion of GDP (%)",,21,Northern America (M49),1969,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,,Region,BX_TRF_PWKR,
1970,1753,"Personal remittances, received,  as a proportion of GDP (%)",,21,Northern America (M49),1970,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,,Region,BX_TRF_PWKR,
1971,1753,"Personal remittances, received,  as a proportion of GDP (%)",,21,Northern America (M49),1971,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,,Region,BX_TRF_PWKR,
1972,1753,"Personal remittances, received,  as a proportion of GDP (%)",,21,Northern America (M49),1972,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,,Region,BX_TRF_PWKR,
1973,1753,"Personal remittances, received,  as a proportion of GDP (%)",,21,Northern America (M49),1973,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,,Region,BX_TRF_PWKR,
1974,1753,"Personal remittances, received,  as a proportion of GDP (%)",,21,Northern America (M49),1974,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,,Region,BX_TRF_PWKR,
1975,1753,"Personal remittances, received,  as a proportion of GDP (%)",,21,Northern America (M49),1975,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,,Region,BX_TRF_PWKR,
1976,1753,"Personal remittances, received,  as a proportion of GDP (%)",,21,Northern America (M49),1976,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,,Region,BX_TRF_PWKR,
1977,1753,"Personal remittances, received,  as a proportion of GDP (%)",,21,Northern America (M49),1977,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,,Region,BX_TRF_PWKR,0.009606951
1978,1753,"Personal remittances, received,  as a proportion of GDP (%)",,21,Northern America (M49),1978,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,,Region,BX_TRF_PWKR,0.009355337
1979,1753,"Personal remittances, received,  as a proportion of GDP (%)",,21,Northern America (M49),1979,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,,Region,BX_TRF_PWKR,0.008754124
1980,1753,"Personal remittances, received,  as a proportion of GDP (%)",,21,Northern America (M49),1980,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,,Region,BX_TRF_PWKR,0.002799839
1981,1753,"Personal remittances, received,  as a proportion of GDP (%)",,21,Northern America (M49),1981,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,,Region,BX_TRF_PWKR,0.002494511
1982,1753,"Personal remittances, received,  as a proportion of GDP (%)",,21,Northern America (M49),1982,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,,Region,BX_TRF_PWKR,0.002392495
1983,1753,"Personal remittances, received,  as a proportion of GDP (%)",,21,Northern America (M49),1983,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,,Region,BX_TRF_PWKR,0.002201408
1984,1753,"Personal remittances, received,  as a proportion of GDP (%)",,21,Northern America (M49),1984,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,,Region,BX_TRF_PWKR,0.001981369
1985,1753,"Personal remittances, received,  as a proportion of GDP (%)",,21,Northern America (M49),1985,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,,Region,BX_TRF_PWKR,0.001843752
1986,1753,"Personal remittances, received,  as a proportion of GDP (%)",,21,Northern America (M49),1986,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,,Region,BX_TRF_PWKR,0.019826925
1987,1753,"Personal remittances, received,  as a proportion of GDP (%)",,21,Northern America (M49),1987,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,,Region,BX_TRF_PWKR,0.020472832
1988,1753,"Personal remittances, received,  as a proportion of GDP (%)",,21,Northern America (M49),1988,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,,Region,BX_TRF_PWKR,0.019001466
1989,1753,"Personal remittances, received,  as a proportion of GDP (%)",,21,Northern America (M49),1989,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,,Region,BX_TRF_PWKR,0.018080041
1990,1753,"Personal remittances, received,  as a proportion of GDP (%)",,21,Northern America (M49),1990,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,,Region,BX_TRF_PWKR,0.019620522
1991,1753,"Personal remittances, received,  as a proportion of GDP (%)",,21,Northern America (M49),1991,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,,Region,BX_TRF_PWKR,0.021110308
1992,1753,"Personal remittances, received,  as a proportion of GDP (%)",,21,Northern America (M49),1992,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,,Region,BX_TRF_PWKR,0.027544631
1993,1753,"Personal remittances, received,  as a proportion of GDP (%)",,21,Northern America (M49),1993,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,,Region,BX_TRF_PWKR,0.026536186
1994,1753,"Personal remittances, received,  as a proportion of GDP (%)",,21,Northern America (M49),1994,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,,Region,BX_TRF_PWKR,0.026663059
1995,1753,"Personal remittances, received,  as a proportion of GDP (%)",,21,Northern America (M49),1995,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,,Region,BX_TRF_PWKR,0.032332861
1996,1753,"Personal remittances, received,  as a proportion of GDP (%)",,21,Northern America (M49),1996,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,,Region,BX_TRF_PWKR,0.031472293
1997,1753,"Personal remittances, received,  as a proportion of GDP (%)",,21,Northern America (M49),1997,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,,Region,BX_TRF_PWKR,0.02991943
1998,1753,"Personal remittances, received,  as a proportion of GDP (%)",,21,Northern America (M49),1998,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,,Region,BX_TRF_PWKR,0.030241398
1999,1753,"Personal remittances, received,  as a proportion of GDP (%)",,21,Northern America (M49),1999,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,,Region,BX_TRF_PWKR,0.047561293
2000,1753,"Personal remittances, received,  as a proportion of GDP (%)",,21,Northern America (M49),2000,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,,Region,BX_TRF_PWKR,0.045007785
2001,1753,"Personal remittances, received,  as a proportion of GDP (%)",,21,Northern America (M49),2001,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,,Region,BX_TRF_PWKR,0.045263473
2002,1753,"Personal remittances, received,  as a proportion of GDP (%)",,21,Northern America (M49),2002,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,,Region,BX_TRF_PWKR,0.044501048
2003,1753,"Personal remittances, received,  as a proportion of GDP (%)",,21,Northern America (M49),2003,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,,Region,BX_TRF_PWKR,0.043260359
2004,1753,"Personal remittances, received,  as a proportion of GDP (%)",,21,Northern America (M49),2004,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,,Region,BX_TRF_PWKR,0.042005186
2005,1753,"Personal remittances, received,  as a proportion of GDP (%)",,21,Northern America (M49),2005,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,,Region,BX_TRF_PWKR,0.040301169
2006,1753,"Personal remittances, received,  as a proportion of GDP (%)",,21,Northern America (M49),2006,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,,Region,BX_TRF_PWKR,0.048455563
2007,1753,"Personal remittances, received,  as a proportion of GDP (%)",,21,Northern America (M49),2007,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,,Region,BX_TRF_PWKR,0.049264758
2008,1753,"Personal remittances, received,  as a proportion of GDP (%)",,21,Northern America (M49),2008,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,,Region,BX_TRF_PWKR,0.049494772
2009,1753,"Personal remittances, received,  as a proportion of GDP (%)",,21,Northern America (M49),2009,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,,Region,BX_TRF_PWKR,0.052320907
2010,1753,"Personal remittances, received,  as a proportion of GDP (%)",,21,Northern America (M49),2010,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,,Region,BX_TRF_PWKR,0.050496859
2011,1753,"Personal remittances, received,  as a proportion of GDP (%)",,21,Northern America (M49),2011,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,,Region,BX_TRF_PWKR,0.049051599
2012,1753,"Personal remittances, received,  as a proportion of GDP (%)",,21,Northern America (M49),2012,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,,Region,BX_TRF_PWKR,0.048516506
2013,1753,"Personal remittances, received,  as a proportion of GDP (%)",,21,Northern America (M49),2013,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,,Region,BX_TRF_PWKR,0.049224531
